t,N0,N1,N2,N3,N4,N5,N6
0,1,0,0,0,0,0,0
0.02,0.815373,0.177096,0.007377,0.000152,0.000002,0,0
0.04,0.659082,0.312582,0.027156,0.001155,0.000024,0,0
0.06,0.527732,0.412344,0.056105,0.003697,0.00012,0.000002,0
0.08,0.418212,0.481739,0.091375,0.008297,0.00037,0.000007,0
0.1,0.32768,0.52562,0.13048,0.01532,0.00088,0.00002,0
0.12,0.253553,0.548359,0.171276,0.024988,0.001775,0.00005,0
0.14,0.193492,0.553871,0.211941,0.037393,0.003196,0.000108,0
0.16,0.145393,0.545637,0.250957,0.052507,0.005295,0.00021,0
0.18,0.107374,0.526731,0.287088,0.070199,0.00823,0.000378,0
0.2,0.07776,0.49984,0.31936,0.09024,0.01216,0.00064,0
0.22,0.055073,0.467289,0.347043,0.112324,0.017241,0.001031,0
0.24,0.03802,0.431064,0.369628,0.136072,0.023622,0.001593,0
0.26,0.02548,0.392841,0.38681,0.161052,0.03144,0.002376,0
0.28,0.016492,0.354,0.398468,0.186785,0.040813,0.003442,0
0.3,0.01024,0.31566,0.40464,0.21276,0.05184,0.00486,0
0.32,0.006047,0.278693,0.405511,0.238446,0.064592,0.006711,0
0.34,0.003355,0.243756,0.401385,0.263305,0.079111,0.009087,0
0.36,0.001721,0.211306,0.392673,0.286804,0.095402,0.012093,0
0.38,0.000796,0.181634,0.379867,0.308425,0.113431,0.015847,0
0.4,0.00032,0.15488,0.36352,0.32768,0.13312,0.02048,0
0.42,0.000105,0.131062,0.344231,0.344124,0.15434,0.026138,0
0.44,0.000025,0.110097,0.322621,0.357364,0.17691,0.032983,0
0.46,0.000003,0.091826,0.299314,0.367074,0.20059,0.041193,0
0.48,0,0.076041,0.274917,0.373005,0.225077,0.050961,0
0.5,0,0.0625,0.25,0.375,0.25,0.0625,0
0.52,0,0.050961,0.225077,0.373005,0.274917,0.076041,0
0.54,0,0.041193,0.20059,0.367074,0.299314,0.091826,0.000003
0.56,0,0.032983,0.17691,0.357364,0.322621,0.110097,0.000025
0.58,0,0.026138,0.15434,0.344124,0.344231,0.131062,0.000105
0.6,0,0.02048,0.13312,0.32768,0.36352,0.15488,0.00032
0.62,0,0.015847,0.113431,0.308425,0.379867,0.181634,0.000796
0.64,0,0.012093,0.095402,0.286804,0.392673,0.211306,0.001721
0.66,0,0.009087,0.079111,0.263305,0.401385,0.243756,0.003355
0.68,0,0.006711,0.064592,0.238446,0.405511,0.278693,0.006047
0.7,0,0.00486,0.05184,0.21276,0.40464,0.31566,0.01024
0.72,0,0.003442,0.040813,0.186785,0.398468,0.354,0.016492
0.74,0,0.002376,0.03144,0.161052,0.38681,0.392841,0.02548
0.76,0,0.001593,0.023622,0.136072,0.369628,0.431064,0.03802
0.78,0,0.001031,0.017241,0.112324,0.347043,0.467289,0.055073
0.8,0,0.00064,0.01216,0.09024,0.31936,0.49984,0.07776
0.82,0,0.000378,0.00823,0.070199,0.287088,0.526731,0.107374
0.84,0,0.00021,0.005295,0.052507,0.250957,0.545637,0.145393
0.86,0,0.000108,0.003196,0.037393,0.211941,0.553871,0.193492
0.88,0,0.00005,0.001775,0.024988,0.171276,0.548359,0.253553
0.9,0,0.00002,0.00088,0.01532,0.13048,0.52562,0.32768
0.92,0,0.000007,0.00037,0.008297,0.091375,0.481739,0.418212
0.94,0,0.000002,0.00012,0.003697,0.056105,0.412344,0.527732
0.96,0,0,0.000024,0.001155,0.027156,0.312582,0.659082
0.98,0,0,0.000002,0.000152,0.007377,0.177096,0.815373
