t,X,Y,Z
0.000000, 0.000000,0.000000,0.000000
0.020000, 0.600000,1.176000,0.000000
0.040000, 1.200000,2.304000,0.000000
0.060000, 1.800000,3.384000,0.000000
0.080000, 2.400000,4.416000,0.000000
0.100000, 3.000000,5.400000,0.000000
0.120000, 3.600000,6.336000,0.000000
0.140000, 4.200000,7.224000,0.000000
0.160000, 4.800000,8.064000,0.000000
0.180000, 5.400000,8.856000,0.000000
0.200000, 6.000000,9.600000,0.000000
0.220000, 6.600000,10.296000,0.000000
0.240000, 7.200000,10.944000,0.000000
0.260000, 7.800000,11.544000,0.000000
0.280000, 8.400000,12.096000,0.000000
0.300000, 9.000000,12.600000,0.000000
0.320000, 9.600000,13.056000,0.000000
0.340000, 10.200000,13.464000,0.000000
0.360000, 10.800000,13.824000,0.000000
0.380000, 11.400000,14.136000,0.000000
0.400000, 12.000000,14.400000,0.000000
0.420000, 12.600000,14.616000,0.000000
0.440000, 13.200000,14.784000,0.000000
0.460000, 13.800000,14.904000,0.000000
0.480000, 14.400000,14.976000,0.000000
0.500000, 15.000000,15.000000,0.000000
0.520000, 15.600000,14.976000,0.000000
0.540000, 16.200000,14.904000,0.000000
0.560000, 16.800000,14.784000,0.000000
0.580000, 17.400000,14.616000,0.000000
0.600000, 18.000000,14.400000,0.000000
0.620000, 18.600000,14.136000,0.000000
0.640000, 19.200000,13.824000,0.000000
0.660000, 19.800000,13.464000,0.000000
0.680000, 20.400000,13.056000,0.000000
0.700000, 21.000000,12.600000,0.000000
0.720000, 21.600000,12.096000,0.000000
0.740000, 22.200000,11.544000,0.000000
0.760000, 22.800000,10.944000,0.000000
0.780000, 23.400000,10.296000,0.000000
0.800000, 24.000000,9.600000,0.000000
0.820000, 24.600000,8.856000,0.000000
0.840000, 25.200000,8.064000,0.000000
0.860000, 25.800000,7.224000,0.000000
0.880000, 26.400000,6.336000,0.000000
0.900000, 27.000000,5.400000,0.000000
0.920000, 27.600000,4.416000,0.000000
0.940000, 28.200000,3.384000,0.000000
0.960000, 28.800000,2.304000,0.000000
0.980000, 29.400000,1.176000,0.000000
