u,v,X,Y,Z
0.000000, 0.000000,0.000000,15.000000,0.000000
0.000000, 0.020000,0.600000,15.176400,0.000000
0.000000, 0.040000,1.200000,15.345600,0.000000
0.000000, 0.060000,1.800000,15.507600,0.000000
0.000000, 0.080000,2.400000,15.662400,0.000000
0.000000, 0.100000,3.000000,15.810000,0.000000
0.000000, 0.120000,3.600000,15.950400,0.000000
0.000000, 0.140000,4.200000,16.083600,0.000000
0.000000, 0.160000,4.800000,16.209600,0.000000
0.000000, 0.180000,5.400000,16.328400,0.000000
0.000000, 0.200000,6.000000,16.440000,0.000000
0.000000, 0.220000,6.600000,16.544400,0.000000
0.000000, 0.240000,7.200000,16.641600,0.000000
0.000000, 0.260000,7.800000,16.731600,0.000000
0.000000, 0.280000,8.400000,16.814400,0.000000
0.000000, 0.300000,9.000000,16.890000,0.000000
0.000000, 0.320000,9.600000,16.958400,0.000000
0.000000, 0.340000,10.200000,17.019600,0.000000
0.000000, 0.360000,10.800000,17.073600,0.000000
0.000000, 0.380000,11.400000,17.120400,0.000000
0.000000, 0.400000,12.000000,17.160000,0.000000
0.000000, 0.420000,12.600000,17.192400,0.000000
0.000000, 0.440000,13.200000,17.217600,0.000000
0.000000, 0.460000,13.800000,17.235600,0.000000
0.000000, 0.480000,14.400000,17.246400,0.000000
0.000000, 0.500000,15.000000,17.250000,0.000000
0.000000, 0.520000,15.600000,17.246400,0.000000
0.000000, 0.540000,16.200000,17.235600,0.000000
0.000000, 0.560000,16.800000,17.217600,0.000000
0.000000, 0.580000,17.400000,17.192400,0.000000
0.000000, 0.600000,18.000000,17.160000,0.000000
0.000000, 0.620000,18.600000,17.120400,0.000000
0.000000, 0.640000,19.200000,17.073600,0.000000
0.000000, 0.660000,19.800000,17.019600,0.000000
0.000000, 0.680000,20.400000,16.958400,0.000000
0.000000, 0.700000,21.000000,16.890000,0.000000
0.000000, 0.720000,21.600000,16.814400,0.000000
0.000000, 0.740000,22.200000,16.731600,0.000000
0.000000, 0.760000,22.800000,16.641600,0.000000
0.000000, 0.780000,23.400000,16.544400,0.000000
0.000000, 0.800000,24.000000,16.440000,0.000000
0.000000, 0.820000,24.600000,16.328400,0.000000
0.000000, 0.840000,25.200000,16.209600,0.000000
0.000000, 0.860000,25.800000,16.083600,0.000000
0.000000, 0.880000,26.400000,15.950400,0.000000
0.000000, 0.900000,27.000000,15.810000,0.000000
0.000000, 0.920000,27.600000,15.662400,0.000000
0.000000, 0.940000,28.200000,15.507600,0.000000
0.000000, 0.960000,28.800000,15.345600,0.000000
0.000000, 0.980000,29.400000,15.176400,0.000000
0.000000, 1.000000,30.000000,15.000000,0.000000
0.020000, 0.000000,0.000000,15.411600,0.600000
0.020000, 0.020000,0.600000,15.623612,0.600000
0.020000, 0.040000,1.200000,15.826970,0.600000
0.020000, 0.060000,1.800000,16.021674,0.600000
0.020000, 0.080000,2.400000,16.207725,0.600000
0.020000, 0.100000,3.000000,16.385123,0.600000
0.020000, 0.120000,3.600000,16.553867,0.600000
0.020000, 0.140000,4.200000,16.713957,0.600000
0.020000, 0.160000,4.800000,16.865394,0.600000
0.020000, 0.180000,5.400000,17.008177,0.600000
0.020000, 0.200000,6.000000,17.142307,0.600000
0.020000, 0.220000,6.600000,17.267783,0.600000
0.020000, 0.240000,7.200000,17.384606,0.600000
0.020000, 0.260000,7.800000,17.492775,0.600000
0.020000, 0.280000,8.400000,17.592291,0.600000
0.020000, 0.300000,9.000000,17.683153,0.600000
0.020000, 0.320000,9.600000,17.765362,0.600000
0.020000, 0.340000,10.200000,17.838917,0.600000
0.020000, 0.360000,10.800000,17.903818,0.600000
0.020000, 0.380000,11.400000,17.960066,0.600000
0.020000, 0.400000,12.000000,18.007661,0.600000
0.020000, 0.420000,12.600000,18.046602,0.600000
0.020000, 0.440000,13.200000,18.076889,0.600000
0.020000, 0.460000,13.800000,18.098523,0.600000
0.020000, 0.480000,14.400000,18.111503,0.600000
0.020000, 0.500000,15.000000,18.115830,0.600000
0.020000, 0.520000,15.600000,18.111503,0.600000
0.020000, 0.540000,16.200000,18.098523,0.600000
0.020000, 0.560000,16.800000,18.076889,0.600000
0.020000, 0.580000,17.400000,18.046602,0.600000
0.020000, 0.600000,18.000000,18.007661,0.600000
0.020000, 0.620000,18.600000,17.960066,0.600000
0.020000, 0.640000,19.200000,17.903818,0.600000
0.020000, 0.660000,19.800000,17.838917,0.600000
0.020000, 0.680000,20.400000,17.765362,0.600000
0.020000, 0.700000,21.000000,17.683153,0.600000
0.020000, 0.720000,21.600000,17.592291,0.600000
0.020000, 0.740000,22.200000,17.492775,0.600000
0.020000, 0.760000,22.800000,17.384606,0.600000
0.020000, 0.780000,23.400000,17.267783,0.600000
0.020000, 0.800000,24.000000,17.142307,0.600000
0.020000, 0.820000,24.600000,17.008177,0.600000
0.020000, 0.840000,25.200000,16.865394,0.600000
0.020000, 0.860000,25.800000,16.713957,0.600000
0.020000, 0.880000,26.400000,16.553867,0.600000
0.020000, 0.900000,27.000000,16.385123,0.600000
0.020000, 0.920000,27.600000,16.207725,0.600000
0.020000, 0.940000,28.200000,16.021674,0.600000
0.020000, 0.960000,28.800000,15.826970,0.600000
0.020000, 0.980000,29.400000,15.623612,0.600000
0.020000, 1.000000,30.000000,15.411600,0.600000
0.040000, 0.000000,0.000000,15.806400,1.200000
0.040000, 0.020000,0.600000,16.054602,1.200000
0.040000, 0.040000,1.200000,16.292673,1.200000
0.040000, 0.060000,1.800000,16.520614,1.200000
0.040000, 0.080000,2.400000,16.738423,1.200000
0.040000, 0.100000,3.000000,16.946102,1.200000
0.040000, 0.120000,3.600000,17.143651,1.200000
0.040000, 0.140000,4.200000,17.331069,1.200000
0.040000, 0.160000,4.800000,17.508356,1.200000
0.040000, 0.180000,5.400000,17.675512,1.200000
0.040000, 0.200000,6.000000,17.832538,1.200000
0.040000, 0.220000,6.600000,17.979433,1.200000
0.040000, 0.240000,7.200000,18.116197,1.200000
0.040000, 0.260000,7.800000,18.242830,1.200000
0.040000, 0.280000,8.400000,18.359333,1.200000
0.040000, 0.300000,9.000000,18.465706,1.200000
0.040000, 0.320000,9.600000,18.561947,1.200000
0.040000, 0.340000,10.200000,18.648058,1.200000
0.040000, 0.360000,10.800000,18.724038,1.200000
0.040000, 0.380000,11.400000,18.789888,1.200000
0.040000, 0.400000,12.000000,18.845606,1.200000
0.040000, 0.420000,12.600000,18.891194,1.200000
0.040000, 0.440000,13.200000,18.926652,1.200000
0.040000, 0.460000,13.800000,18.951979,1.200000
0.040000, 0.480000,14.400000,18.967175,1.200000
0.040000, 0.500000,15.000000,18.972240,1.200000
0.040000, 0.520000,15.600000,18.967175,1.200000
0.040000, 0.540000,16.200000,18.951979,1.200000
0.040000, 0.560000,16.800000,18.926652,1.200000
0.040000, 0.580000,17.400000,18.891194,1.200000
0.040000, 0.600000,18.000000,18.845606,1.200000
0.040000, 0.620000,18.600000,18.789888,1.200000
0.040000, 0.640000,19.200000,18.724038,1.200000
0.040000, 0.660000,19.800000,18.648058,1.200000
0.040000, 0.680000,20.400000,18.561947,1.200000
0.040000, 0.700000,21.000000,18.465706,1.200000
0.040000, 0.720000,21.600000,18.359333,1.200000
0.040000, 0.740000,22.200000,18.242830,1.200000
0.040000, 0.760000,22.800000,18.116197,1.200000
0.040000, 0.780000,23.400000,17.979433,1.200000
0.040000, 0.800000,24.000000,17.832538,1.200000
0.040000, 0.820000,24.600000,17.675512,1.200000
0.040000, 0.840000,25.200000,17.508356,1.200000
0.040000, 0.860000,25.800000,17.331069,1.200000
0.040000, 0.880000,26.400000,17.143651,1.200000
0.040000, 0.900000,27.000000,16.946102,1.200000
0.040000, 0.920000,27.600000,16.738423,1.200000
0.040000, 0.940000,28.200000,16.520614,1.200000
0.040000, 0.960000,28.800000,16.292673,1.200000
0.040000, 0.980000,29.400000,16.054602,1.200000
0.040000, 1.000000,30.000000,15.806400,1.200000
0.060000, 0.000000,0.000000,16.184400,1.800000
0.060000, 0.020000,0.600000,16.469244,1.800000
0.060000, 0.040000,1.200000,16.742461,1.800000
0.060000, 0.060000,1.800000,17.004052,1.800000
0.060000, 0.080000,2.400000,17.254017,1.800000
0.060000, 0.100000,3.000000,17.492356,1.800000
0.060000, 0.120000,3.600000,17.719068,1.800000
0.060000, 0.140000,4.200000,17.934154,1.800000
0.060000, 0.160000,4.800000,18.137614,1.800000
0.060000, 0.180000,5.400000,18.329447,1.800000
0.060000, 0.200000,6.000000,18.509654,1.800000
0.060000, 0.220000,6.600000,18.678235,1.800000
0.060000, 0.240000,7.200000,18.835190,1.800000
0.060000, 0.260000,7.800000,18.980518,1.800000
0.060000, 0.280000,8.400000,19.114221,1.800000
0.060000, 0.300000,9.000000,19.236296,1.800000
0.060000, 0.320000,9.600000,19.346746,1.800000
0.060000, 0.340000,10.200000,19.445569,1.800000
0.060000, 0.360000,10.800000,19.532766,1.800000
0.060000, 0.380000,11.400000,19.608337,1.800000
0.060000, 0.400000,12.000000,19.672282,1.800000
0.060000, 0.420000,12.600000,19.724600,1.800000
0.060000, 0.440000,13.200000,19.765292,1.800000
0.060000, 0.460000,13.800000,19.794357,1.800000
0.060000, 0.480000,14.400000,19.811797,1.800000
0.060000, 0.500000,15.000000,19.817610,1.800000
0.060000, 0.520000,15.600000,19.811797,1.800000
0.060000, 0.540000,16.200000,19.794357,1.800000
0.060000, 0.560000,16.800000,19.765292,1.800000
0.060000, 0.580000,17.400000,19.724600,1.800000
0.060000, 0.600000,18.000000,19.672282,1.800000
0.060000, 0.620000,18.600000,19.608337,1.800000
0.060000, 0.640000,19.200000,19.532766,1.800000
0.060000, 0.660000,19.800000,19.445569,1.800000
0.060000, 0.680000,20.400000,19.346746,1.800000
0.060000, 0.700000,21.000000,19.236296,1.800000
0.060000, 0.720000,21.600000,19.114221,1.800000
0.060000, 0.740000,22.200000,18.980518,1.800000
0.060000, 0.760000,22.800000,18.835190,1.800000
0.060000, 0.780000,23.400000,18.678235,1.800000
0.060000, 0.800000,24.000000,18.509654,1.800000
0.060000, 0.820000,24.600000,18.329447,1.800000
0.060000, 0.840000,25.200000,18.137614,1.800000
0.060000, 0.860000,25.800000,17.934154,1.800000
0.060000, 0.880000,26.400000,17.719068,1.800000
0.060000, 0.900000,27.000000,17.492356,1.800000
0.060000, 0.920000,27.600000,17.254017,1.800000
0.060000, 0.940000,28.200000,17.004052,1.800000
0.060000, 0.960000,28.800000,16.742461,1.800000
0.060000, 0.980000,29.400000,16.469244,1.800000
0.060000, 1.000000,30.000000,16.184400,1.800000
0.080000, 0.000000,0.000000,16.545600,2.400000
0.080000, 0.020000,0.600000,16.867410,2.400000
0.080000, 0.040000,1.200000,17.176085,2.400000
0.080000, 0.060000,1.800000,17.471625,2.400000
0.080000, 0.080000,2.400000,17.754030,2.400000
0.080000, 0.100000,3.000000,18.023299,2.400000
0.080000, 0.120000,3.600000,18.279434,2.400000
0.080000, 0.140000,4.200000,18.522433,2.400000
0.080000, 0.160000,4.800000,18.752297,2.400000
0.080000, 0.180000,5.400000,18.969027,2.400000
0.080000, 0.200000,6.000000,19.172621,2.400000
0.080000, 0.220000,6.600000,19.363080,2.400000
0.080000, 0.240000,7.200000,19.540404,2.400000
0.080000, 0.260000,7.800000,19.704593,2.400000
0.080000, 0.280000,8.400000,19.855646,2.400000
0.080000, 0.300000,9.000000,19.993565,2.400000
0.080000, 0.320000,9.600000,20.118348,2.400000
0.080000, 0.340000,10.200000,20.229997,2.400000
0.080000, 0.360000,10.800000,20.328510,2.400000
0.080000, 0.380000,11.400000,20.413888,2.400000
0.080000, 0.400000,12.000000,20.486131,2.400000
0.080000, 0.420000,12.600000,20.545239,2.400000
0.080000, 0.440000,13.200000,20.591212,2.400000
0.080000, 0.460000,13.800000,20.624050,2.400000
0.080000, 0.480000,14.400000,20.643752,2.400000
0.080000, 0.500000,15.000000,20.650320,2.400000
0.080000, 0.520000,15.600000,20.643752,2.400000
0.080000, 0.540000,16.200000,20.624050,2.400000
0.080000, 0.560000,16.800000,20.591212,2.400000
0.080000, 0.580000,17.400000,20.545239,2.400000
0.080000, 0.600000,18.000000,20.486131,2.400000
0.080000, 0.620000,18.600000,20.413888,2.400000
0.080000, 0.640000,19.200000,20.328510,2.400000
0.080000, 0.660000,19.800000,20.229997,2.400000
0.080000, 0.680000,20.400000,20.118348,2.400000
0.080000, 0.700000,21.000000,19.993565,2.400000
0.080000, 0.720000,21.600000,19.855646,2.400000
0.080000, 0.740000,22.200000,19.704593,2.400000
0.080000, 0.760000,22.800000,19.540404,2.400000
0.080000, 0.780000,23.400000,19.363080,2.400000
0.080000, 0.800000,24.000000,19.172621,2.400000
0.080000, 0.820000,24.600000,18.969027,2.400000
0.080000, 0.840000,25.200000,18.752297,2.400000
0.080000, 0.860000,25.800000,18.522433,2.400000
0.080000, 0.880000,26.400000,18.279434,2.400000
0.080000, 0.900000,27.000000,18.023299,2.400000
0.080000, 0.920000,27.600000,17.754030,2.400000
0.080000, 0.940000,28.200000,17.471625,2.400000
0.080000, 0.960000,28.800000,17.176085,2.400000
0.080000, 0.980000,29.400000,16.867410,2.400000
0.080000, 1.000000,30.000000,16.545600,2.400000
0.100000, 0.000000,0.000000,16.890000,3.000000
0.100000, 0.020000,0.600000,17.248974,3.000000
0.100000, 0.040000,1.200000,17.593296,3.000000
0.100000, 0.060000,1.800000,17.922966,3.000000
0.100000, 0.080000,2.400000,18.237984,3.000000
0.100000, 0.100000,3.000000,18.538350,3.000000
0.100000, 0.120000,3.600000,18.824064,3.000000
0.100000, 0.140000,4.200000,19.095126,3.000000
0.100000, 0.160000,4.800000,19.351536,3.000000
